year,abany
2018,no
2018,yes
2018,no
2018,yes
2018,yes
2018,no
2018,yes
2018,no
2018,yes
2018,no
2018,no
2018,yes
2018,no
2018,yes
2018,no
2018,no
2018,yes
2018,no
2018,no
2018,no
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,no
2018,yes
2018,yes
2018,yes
2018,yes
2018,no
2018,yes
2018,yes
2018,no
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,no
2018,yes
2018,no
2018,yes
2018,no
2018,no
2018,yes
2018,yes
2018,yes
2018,no
2018,no
2018,yes
2018,no
2018,yes
2018,no
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,no
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,no
2018,no
2018,no
2018,no
2018,yes
2018,no
2018,no
2018,no
2018,no
2018,no
2018,yes
2018,no
2018,no
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,no
2018,no
2018,no
2018,yes
2018,no
2018,yes
2018,yes
2018,no
2018,no
2018,no
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,no
2018,yes
2018,yes
2018,yes
2018,yes
2018,no
2018,no
2018,yes
2018,no
2018,no
2018,no
2018,no
2018,yes
2018,yes
2018,no
2018,no
2018,no
2018,yes
2018,yes
2018,no
2018,yes
2018,no
2018,no
2018,no
2018,yes
2018,no
2018,yes
2018,no
2018,no
2018,no
2018,no
2018,yes
2018,yes
2018,yes
2018,yes
2018,no
2018,yes
2018,yes
2018,no
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,no
2018,no
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,no
2018,no
2018,yes
2018,no
2018,no
2018,yes
2018,no
2018,yes
2018,no
2018,no
2018,yes
2018,no
2018,no
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,yes
2018,no
2018,no
2018,yes
2018,no
2018,no
2018,no
2018,no
2018,no
2018,yes
2018,yes
2018,yes
2018,no
2018,no
2018,yes
2018,yes
2018,no
2018,yes
